trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,1.783804618,257,1.860154232,268,1,1,89,3,5,14,young,2,male,1,right,2,1160,540,fear,1,y_m_f,young_male_fear,089_y_m_f_a.jpg,7,0.10411311,15,y_m_n,young_male_neutral,089_y_m_n_a.jpg,9,4,0.0416452440000001,6,2,0.131876606,19,1.506169658,217
2,1.686632382,243,3.73419021200001,538,1,1,99,3,6,15,young,2,male,1,right,2,1160,540,happy,2,y_m_h,young_male_happy,099_y_m_h_a.jpg,8,0.10411311,15,y_m_n,young_male_neutral,099_y_m_n_a.jpg,9,5,0.0485861180000001,7,1,0.027763496,4,1.506169658,217
3,2.457069396,354,5.92056552200001,853,1,1,51,1,1,7,middle,1,male,1,left,1,760,540,fear,1,m_m_f,middle_male_fear,051_m_m_f_a.jpg,1,0.10411311,15,m_m_n,middle_male_neutral,051_m_m_n_a.jpg,3,7,0.0971722360000001,14,8,0.749614392000001,108,1.506169658,217
4,2.061439578,297,8.11388170600001,1169,1,1,66,3,6,11,young,2,male,1,right,2,1160,540,happy,2,y_m_h,young_male_happy,066_y_m_h_a.jpg,8,0.10411311,15,y_m_n,young_male_neutral,066_y_m_n_a.jpg,9,1,0.013881748,2,5,0.437275062000001,63,1.506169658,217
5,2.096143948,302,10.112853418,1457,1,1,122,2,4,20,middle,1,female,2,right,2,1160,540,happy,2,m_f_h,middle_female_happy,122_m_f_h_a.jpg,5,0.10411311,15,m_f_n,middle_female_neutral,122_m_f_n_a.jpg,6,10,0.249871464,36,3,0.235989716,34,1.506169658,217
6,1.776863744,256,11.827249296,1704,1,1,82,1,1,13,middle,1,male,1,right,2,1160,540,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,1,0.10411311,15,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.03470437,5,2,0.131876606,19,1.506169658,217
7,2.123907444,306,14.284318692,2058,1,1,105,3,5,16,young,2,male,1,right,2,1160,540,fear,1,y_m_f,young_male_fear,105_y_m_f_a.jpg,7,0.10411311,15,y_m_n,young_male_neutral,105_y_m_n_a.jpg,9,6,0.0763496140000001,11,5,0.437275062000001,63,1.506169658,217
8,2.200257058,317,16.79691508,2420,1,1,35,2,3,5,middle,1,female,2,left,1,760,540,fear,1,m_f_f,middle_female_fear,035_m_f_f_a.jpg,4,0.10411311,15,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,5,0.0485861180000001,7,6,0.541388172000001,78,1.506169658,217
9,2.0822622,300,19.149871366,2759,1,1,82,1,2,13,middle,1,male,1,left,1,760,540,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,2,0.10411311,15,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.03470437,5,5,0.437275062000001,63,1.506169658,217
10,2.304370168,332,21.44730066,3090,1,1,52,2,3,8,middle,1,female,2,left,1,760,540,fear,1,m_f_f,middle_female_fear,052_m_f_f_a.jpg,4,0.10411311,15,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,6,8,0.152699228,22,6,0.541388172000001,78,1.506169658,217
