trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,NaN,108.498634826025,NaN,122.999696628006,1,1,40,4,8,6,young,2,female,2,right,2,1480,720,happy,2,y_f_h,young_female_happy,040_y_f_h_a.jpg,11,NaN,0,y_f_n,young_female_neutral,040_y_f_n_a.jpg,12,6,0.075,4.49863482602508,3,0.233404141613282,14,1.50045519608539,90
2,NaN,140.996359536067,NaN,228.499241570014,1,1,61,2,4,9,middle,1,female,2,right,2,1480,720,happy,2,m_f_h,middle_female_happy,061_m_f_h_a.jpg,5,NaN,0,m_f_n,middle_female_neutral,061_m_f_n_a.jpg,6,9,0.2,11.9963595360669,7,0.650197251637,39,1.50045519608539,90
3,NaN,133.498634826025,NaN,365.498634826025,1,1,45,1,1,6,middle,1,male,1,left,1,1080,720,fear,1,m_m_f,middle_male_fear,045_m_m_f_a.jpg,1,NaN,0,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.075,4.49863482602508,7,0.650197251637,39,1.50045519608539,90
4,NaN,110.999696628006,NaN,502.997876396039,1,1,8,3,6,1,young,2,male,1,right,2,1480,720,happy,2,y_m_h,young_male_happy,008_y_m_h_a.jpg,8,NaN,0,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,1,0.0166666666666667,0.999696628005572,4,0.333434488018975,20,1.50045519608539,90
5,NaN,112.499241570014,NaN,615.996966280056,1,1,87,1,2,14,middle,1,male,1,right,2,1480,720,happy,2,m_m_h,middle_male_happy,087_m_m_h_a.jpg,2,NaN,0,m_m_n,middle_male_neutral,087_m_m_n_a.jpg,3,4,0.0416666666666667,2.49924157001393,4,0.333434488018975,20,1.50045519608539,90
6,NaN,127.998179768033,NaN,749.495601106081,1,1,41,3,5,7,young,2,male,1,left,1,1080,720,fear,1,y_m_f,young_male_fear,041_y_m_f_a.jpg,7,NaN,0,y_m_n,young_male_neutral,041_y_m_n_a.jpg,9,7,0.1,5.99817976803343,6,0.533495180830359,32,1.50045519608539,90
7,NaN,105.499544942008,NaN,871.493780874114,1,1,72,3,6,12,young,2,male,1,left,1,1080,720,happy,2,y_m_h,young_male_happy,072_y_m_h_a.jpg,8,NaN,0,y_m_n,young_male_neutral,072_y_m_n_a.jpg,9,2,0.025,1.49954494200836,3,0.233404141613282,14,1.50045519608539,90
8,NaN,112.999089884017,NaN,1002.49105052616,1,1,99,3,5,15,young,2,male,1,left,1,1080,720,fear,1,y_m_f,young_male_fear,099_y_m_f_a.jpg,7,NaN,0,y_m_n,young_male_neutral,099_y_m_n_a.jpg,9,5,0.05,2.99908988401672,4,0.333434488018975,20,1.50045519608539,90
9,NaN,136.995449420084,NaN,1130.48741006223,1,1,62,3,5,10,young,2,male,1,right,2,1480,720,fear,1,y_m_f,young_male_fear,062_y_m_f_a.jpg,7,NaN,0,y_m_n,young_male_neutral,062_y_m_n_a.jpg,9,10,0.25,14.9954494200836,6,0.533495180830359,32,1.50045519608539,90
10,NaN,122.999696628006,NaN,1280.48285948231,1,1,73,2,4,11,middle,1,female,2,left,1,1080,720,happy,2,m_f_h,middle_female_happy,073_m_f_h_a.jpg,5,NaN,0,m_f_n,middle_female_neutral,073_m_f_n_a.jpg,6,1,0.0166666666666667,0.999696628005572,6,0.533495180830359,32,1.50045519608539,90
