trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,2.41666666666667,290,2.28333333333333,274,1,1,56,1,1,8,middle,1,male,1,right,2,1400,675,fear,1,m_m_f,middle_male_fear,056_m_m_f_a.jpg,1,0.1,12,m_m_n,middle_male_neutral,056_m_m_n_a.jpg,3,8,0.15,18,8,0.666666666666667,80,1.5,180
2,2.28333333333333,274,4.575,549,1,1,71,4,8,11,young,2,female,2,right,2,1400,675,happy,2,y_f_h,young_female_happy,071_y_f_h_a.jpg,11,0.1,12,y_f_n,young_female_neutral,071_y_f_n_a.jpg,12,1,0.0166666666666667,2,8,0.666666666666667,80,1.5,180
3,1.85833333333333,223,6.41666666666667,770,1,1,99,3,5,15,young,2,male,1,left,1,1000,675,fear,1,y_m_f,young_male_fear,099_y_m_f_a.jpg,7,0.1,12,y_m_n,young_male_neutral,099_y_m_n_a.jpg,9,5,0.05,6,3,0.208333333333333,25,1.5,180
4,2.25,270,8.35833333333333,1003,1,1,45,1,2,6,middle,1,male,1,left,1,1000,675,happy,2,m_m_h,middle_male_happy,045_m_m_h_a.jpg,2,0.1,12,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.075,9,7,0.575,69,1.5,180
5,2.11666666666667,254,10.4,1248,1,1,19,2,4,3,middle,1,female,2,left,1,1000,675,happy,2,m_f_h,middle_female_happy,019_m_f_h_a.jpg,5,0.1,12,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,3,0.0333333333333333,4,6,0.483333333333333,58,1.5,180
6,1.85833333333333,223,12.1,1452,1,1,101,4,7,15,young,2,female,2,left,1,1000,675,fear,1,y_f_f,young_female_fear,101_y_f_f_a.jpg,10,0.1,12,y_f_n,young_female_neutral,101_y_f_n_a.jpg,12,5,0.05,6,3,0.208333333333333,25,1.5,180
7,2.1,252,14.2833333333333,1714,1,1,57,3,5,9,young,2,male,1,left,1,1000,675,fear,1,y_m_f,young_male_fear,057_y_m_f_a.jpg,7,0.1,12,y_m_n,young_male_neutral,057_y_m_n_a.jpg,9,9,0.2,24,4,0.3,36,1.5,180
8,2.33333333333333,280,16.425,1971,1,1,62,3,5,10,young,2,male,1,left,1,1000,675,fear,1,y_m_f,young_male_fear,062_y_m_f_a.jpg,7,0.1,12,y_m_n,young_male_neutral,062_y_m_n_a.jpg,9,10,0.25,30,6,0.483333333333333,58,1.5,180
9,1.86666666666667,224,18.25,2190,1,1,113,2,4,18,middle,1,female,2,left,1,1000,675,happy,2,m_f_h,middle_female_happy,113_m_f_h_a.jpg,5,0.1,12,m_f_n,middle_female_neutral,113_m_f_n_a.jpg,6,8,0.15,18,2,0.116666666666667,14,1.5,180
10,2.275,273,20.125,2415,1,1,104,1,2,17,middle,1,male,1,left,1,1000,675,happy,2,m_m_h,middle_male_happy,104_m_m_h_a.jpg,2,0.1,12,m_m_n,middle_male_neutral,104_m_m_n_a.jpg,3,7,0.1,12,7,0.575,69,1.5,180
