trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,image_emotion,image_emotion_ref,image_id,image_fullid,target_imagename,mask_imagename,image_pos_ref,location_name,location,location_x,location_y,soa_ref,soa_secs,soa_frames,mask_secs,mask_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,2.10783661000365,253,2.10783661000365,253,1,1,31,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,031_y_m_n_b.jpg,9,left,1,616.443307866211,540,5,0.0499882200000866,6,0.108307810000188,13,5,0.441562610000765,53,1.50797797000261,181
2,2.29112675000397,275,4.39896336000762,528,1,1,20,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,020_y_f_n_b.jpg,12,right,2,1303.55669213379,540,2,0.0249941100000433,3,0.108307810000188,13,7,0.649846860001126,78,1.50797797000261,181
3,2.02452291000351,243,6.42348627001113,771,1,1,8,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,008_y_m_n_b.jpg,9,right,2,1303.55669213379,540,6,0.0749823300001299,9,0.108307810000188,13,4,0.333254800000577,40,1.50797797000261,181
4,1.88288962000326,226,8.30637589001439,997,1,1,26,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,026_m_m_n_b.jpg,3,left,1,616.443307866211,540,3,0.0333254800000577,4,0.108307810000188,13,3,0.233278360000404,28,1.50797797000261,181
5,1.92454647000333,231,10.2309223600177,1228,1,1,6,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,006_m_f_n_b.jpg,6,right,2,1303.55669213379,540,6,0.0749823300001299,9,0.108307810000188,13,3,0.233278360000404,28,1.50797797000261,181
6,1.94120921000336,233,12.1721315700211,1461,1,1,28,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,028_y_f_n_b.jpg,12,right,2,1303.55669213379,540,9,0.199952880000346,24,0.108307810000188,13,2,0.124970550000216,15,1.50797797000261,181
7,1.78291318000309,214,13.9550447500242,1675,1,1,28,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,028_y_f_n_b.jpg,12,left,1,616.443307866211,540,4,0.0416568500000722,5,0.108307810000188,13,2,0.124970550000216,15,1.50797797000261,181
8,2.61605018000453,314,16.5710949300287,1989,1,1,31,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,031_y_m_n_b.jpg,9,left,1,616.443307866211,540,10,0.249941100000433,30,0.108307810000188,13,8,0.749823300001299,90,1.50797797000261,181
9,1.65794263000287,199,18.2290375600316,2188,1,1,7,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,007_m_m_n_b.jpg,3,left,1,616.443307866211,540,1,0.0166627400000289,2,0.108307810000188,13,1,0.0249941100000433,3,1.50797797000261,181
10,2.17448757000377,261,20.4035251300353,2449,1,1,10,4,4,1,young,2,female,2,neutral,3,y_f_n,young_female_neutral,010_y_f_n_a.jpg,010_y_f_n_b.jpg,12,right,2,1303.55669213379,540,1,0.0166627400000289,2,0.108307810000188,13,6,0.541539050000938,65,1.50797797000261,181
